src_ip,dst_ip,protocol,packet_length,traffic_freq,label
192.168.1.10,10.0.0.1,TCP,64,5,Normal
192.168.1.11,10.0.0.2,UDP,128,3,Normal
192.168.1.12,10.0.0.3,TCP,256,7,Normal
192.168.1.13,10.0.0.4,ICMP,32,2,Normal
192.168.1.14,10.0.0.5,TCP,512,6,Normal
192.168.1.15,10.0.0.6,UDP,64,4,Normal
192.168.1.16,10.0.0.7,TCP,128,5,Normal
192.168.1.17,10.0.0.8,UDP,256,3,Normal
192.168.1.18,10.0.0.9,TCP,64,8,Normal
192.168.1.19,10.0.0.10,ICMP,32,1,Normal
10.0.0.20,192.168.1.1,TCP,1500,500,DDoS
10.0.0.21,192.168.1.1,TCP,1500,600,DDoS
10.0.0.22,192.168.1.1,UDP,1500,700,DDoS
10.0.0.23,192.168.1.1,TCP,1500,800,DDoS
10.0.0.24,192.168.1.1,ICMP,1500,900,DDoS
10.0.0.25,192.168.1.1,TCP,1500,1000,DDoS
10.0.0.26,192.168.1.1,UDP,1500,1100,DDoS
10.0.0.27,192.168.1.1,TCP,1500,1200,DDoS
10.0.0.28,192.168.1.1,TCP,1500,1300,DDoS
10.0.0.29,192.168.1.1,ICMP,1500,1400,DDoS
172.16.0.1,192.168.1.5,TCP,40,150,PortScan
172.16.0.1,192.168.1.5,TCP,40,160,PortScan
172.16.0.1,192.168.1.5,TCP,40,170,PortScan
172.16.0.2,192.168.1.6,TCP,40,180,PortScan
172.16.0.2,192.168.1.6,TCP,40,190,PortScan
172.16.0.2,192.168.1.6,TCP,40,200,PortScan
172.16.0.3,192.168.1.7,UDP,40,210,PortScan
172.16.0.3,192.168.1.7,UDP,40,220,PortScan
172.16.0.4,192.168.1.8,TCP,40,230,PortScan
172.16.0.4,192.168.1.8,TCP,40,240,PortScan
10.10.10.1,192.168.1.20,TCP,300,50,Suspicious
10.10.10.2,192.168.1.21,UDP,450,60,Suspicious
10.10.10.3,192.168.1.22,TCP,600,70,Suspicious
10.10.10.4,192.168.1.23,ICMP,750,80,Suspicious
10.10.10.5,192.168.1.24,TCP,900,90,Suspicious
10.10.10.6,192.168.1.25,UDP,1050,100,Suspicious
10.10.10.7,192.168.1.26,TCP,1200,110,Suspicious
10.10.10.8,192.168.1.27,UDP,350,120,Suspicious
10.10.10.9,192.168.1.28,TCP,400,130,Suspicious
10.10.10.10,192.168.1.29,ICMP,500,140,Suspicious
192.168.2.10,172.20.0.1,TCP,80,4,Normal
192.168.2.11,172.20.0.2,UDP,160,6,Normal
192.168.2.12,172.20.0.3,TCP,320,5,Normal
192.168.2.13,172.20.0.4,ICMP,40,2,Normal
192.168.2.14,172.20.0.5,TCP,640,7,Normal
192.168.2.15,172.20.0.6,UDP,80,3,Normal
192.168.2.16,172.20.0.7,TCP,160,6,Normal
192.168.2.17,172.20.0.8,UDP,320,4,Normal
192.168.2.18,172.20.0.9,TCP,80,9,Normal
192.168.2.19,172.20.0.10,ICMP,40,1,Normal
10.0.1.20,192.168.2.1,TCP,1500,520,DDoS
10.0.1.21,192.168.2.1,TCP,1500,620,DDoS
10.0.1.22,192.168.2.1,UDP,1500,720,DDoS
10.0.1.23,192.168.2.1,TCP,1500,820,DDoS
10.0.1.24,192.168.2.1,ICMP,1500,920,DDoS
172.17.0.1,192.168.2.5,TCP,40,155,PortScan
172.17.0.1,192.168.2.5,TCP,40,165,PortScan
172.17.0.2,192.168.2.6,TCP,40,175,PortScan
172.17.0.3,192.168.2.7,UDP,40,185,PortScan
172.17.0.4,192.168.2.8,TCP,40,195,PortScan
10.11.10.1,192.168.2.20,TCP,310,55,Suspicious
10.11.10.2,192.168.2.21,UDP,460,65,Suspicious
10.11.10.3,192.168.2.22,TCP,610,75,Suspicious
10.11.10.4,192.168.2.23,ICMP,760,85,Suspicious
10.11.10.5,192.168.2.24,TCP,910,95,Suspicious
